group,service,name,externalName,description,id,shortName,externalId,active,enabled,public,isDefault,type,model,baseRateName,baseRateId,relPct,abs,baseAmountGross,currency,chainDepth,chain
Advance Purchase,Accommodation,AUTO M&F Early Bird - Best Direct Rate,M&F Early Bird - Best Direct Rate,Book early for even better rates. Our Early Bird Rate offers the best value for guests who plan ahead and book direct. Enjoy your private en-suite studio and all the on-site amenities. This special rate is studio inclusive of breakfast & requires full payment at the time of booking. Non-refundable and non-amendable.,b963ebd2-170a-4a5c-baa9-b3ec011c7af8,AMEBBDR,MFNR,false,true,false,false,Private,Dependent,AUTO M&F Insider - Best Flexible Rate,f9df0eba-8788-4163-9c73-b3e00110df48,-10%,0,,GBP,1,AUTO M&F Insider - Best Flexible Rate
Advance Purchase,Accommodation,AUTO OTA Expedia Advance Purchase,Advance Purchase,,bf4682b1-7a67-4f3e-9694-b3ed00e5b31a,AOEAP,EXAP,false,true,false,false,Private,Dependent,AUTO M&F Early Bird - Best Direct Rate,b963ebd2-170a-4a5c-baa9-b3ec011c7af8,0%,0,,GBP,2,AUTO M&F Early Bird - Best Direct Rate → AUTO M&F Insider - Best Flexible Rate
Corporates (Auto Payments),Accommodation,Corporate -15%,Corporate -15%,,02b4c0e6-856f-4890-b7bf-b4200076c119,Corporate -15%,,true,true,false,false,Private,Dependent,Direct: Flexible,d4d6248f-4d38-40ec-9af2-b41c00ece88b,-15%,0,,GBP,2,Direct: Flexible → OTA BASE: Flexible
Corporates (Auto Payments),Accommodation,Partner Rate,Partner Rate,,f05575ce-7e46-4bf9-a897-b42000752213,Partner Rate,,false,true,false,false,Private,Dependent,OTA BASE: Flexible,df9a9345-90e4-4b1b-8f5b-b41100a7c319,-15%,0,,GBP,1,OTA BASE: Flexible
Corporates (Auto Payments),Accommodation,Partner Rate,Partner Rate,,7b2ba331-5c7f-4f59-80dd-b42000759f5a,Partner Rate,,false,true,false,false,Private,Dependent,Direct: Flexible,d4d6248f-4d38-40ec-9af2-b41c00ece88b,0%,0,,GBP,2,Direct: Flexible → OTA BASE: Flexible
Corporates (Auto Payments),Accommodation,Partner Rate: Fixed,Partner Rate: Fixed,,db9f7bb8-aea2-461e-a695-b4200076eed8,Partner Rate: Fixed,,true,true,false,false,Private,Base,,,,,10000,GBP,0,
Corporates (Auto Payments),Accommodation,Partner Rate: Fixed £120,Partner Rate: Fixed £120,,8c8c4c5d-ec24-4357-b6c8-b42700e17473,Partner Rate: Fixed £120,,true,true,false,false,Private,Base,,,,,120,GBP,0,
Corporates (Auto Payments),Accommodation,Partner Rate: Fixed £150,Partner Rate: Fixed £150,,84e25484-a729-4f5f-bb5e-b42700e1c7cb,Partner Rate: Fixed £150,,true,true,false,false,Private,Base,,,,,150,GBP,0,
Corporates (Manual Payments),Accommodation,Corporate -15%,Corporate -15%,,7b53c774-4da2-48b9-b9d1-b41e0068ecbf,Corporate -15%,,true,true,false,false,Private,Dependent,Direct: Flexible,d4d6248f-4d38-40ec-9af2-b41c00ece88b,-15%,0,,GBP,2,Direct: Flexible → OTA BASE: Flexible
Corporates (Manual Payments),Accommodation,Partner Rate,Partner Rate,,5f32bb6b-4208-4f80-a977-b41d012e029d,Partner Rate,,false,true,false,false,Private,Dependent,OTA BASE: Flexible,df9a9345-90e4-4b1b-8f5b-b41100a7c319,-15%,0,,GBP,1,OTA BASE: Flexible
