group,service,name,externalName,description,id,shortName,externalId,active,enabled,public,isDefault,type,model,baseRateName,baseRateId,relPct,abs,baseAmountGross,currency,chainDepth,chain
AUTO EXPEDIA Advance Purchase,Short Stay Accommodation,AUTO OTA Expedia Advanced Purchase,Advance Purchase,,bef5bb90-b351-4adf-8b28-b38e00d86dd9,AOEAP,EXAP,true,true,false,false,Private,Dependent,AUTO M&F Insider - Best Flexible Rate,eac8501c-9782-4056-b0a9-b13a00e7674b,-10%,0,,GBP,1,AUTO M&F Insider - Best Flexible Rate
AUTO EXPEDIA Rack Rate,Short Stay Accommodation,AUTO OTA Expedia Rack Rate,Flexible,,f6de2e60-b4d7-4b21-bbda-b38e00d96693,AOERR,EXRR,true,true,false,false,Private,Dependent,AUTO M&F Insider - Best Flexible Rate,eac8501c-9782-4056-b0a9-b13a00e7674b,0%,0,,GBP,1,AUTO M&F Insider - Best Flexible Rate
Corporates (Auto Payments),Short Stay Accommodation,Corporate -15%,Corporate -15%,,b7515532-18c1-498c-93ef-b441012afbda,Corporate -15%,,true,true,false,false,Private,Dependent,AUTO M&F Insider - Best Flexible Rate,eac8501c-9782-4056-b0a9-b13a00e7674b,-15%,0,,GBP,1,AUTO M&F Insider - Best Flexible Rate
Corporates (Auto Payments),Short Stay Accommodation,Partner Rate: Fixed,,,60f6cd6d-bd45-4b6d-afb7-b441012a6b78,Partner Rate: Fixed,,true,true,false,false,Private,Base,,,,,500,GBP,0,
Corporates (Auto Payments),Short Stay Accommodation,Partner Rate: Fixed £120,,,c2b200ac-8dbf-40c3-93c4-b441012a90b3, Partner Rate: Fixed £120,,true,true,false,false,Private,Base,,,,,120,GBP,0,
Corporates (Auto Payments),Short Stay Accommodation,Partner Rate: Fixed £150,Partner Rate: Fixed £150,,5cc83b4f-3d38-4fa1-b3d7-b441012ab9c2,Partner Rate: Fixed £150,,true,true,false,false,Private,Base,,,,,150,GBP,0,
Corporates (Manual Payments),Short Stay Accommodation,Corporate -15%,,,01f6d5ba-700e-494a-840c-b441012a3647,Corporate -15%,,true,true,false,false,Private,Dependent,AUTO M&F Insider - Best Flexible Rate,eac8501c-9782-4056-b0a9-b13a00e7674b,-15%,0,,GBP,1,AUTO M&F Insider - Best Flexible Rate
Corporates (Manual Payments),Short Stay Accommodation,Partner Rate: Fixed,,,487209c8-61e0-4103-bb1c-b441012a0b59, Partner Rate: Fixed,,true,true,false,false,Private,Base,,,,,400,GBP,0,
Default,Mid Stay Accommodation (new),Fully Flexible,,,ca7bcf2a-cbf7-461d-bec0-b37e00aad950,FF,,true,false,true,false,Public,Base,,,,,10000,GBP,0,
Default,Management ,Fully Flexible,,,a1bafa03-b3ff-4a16-b49e-b38400c54e64,FF,,true,false,true,false,Public,Base,,,,,10000,GBP,0,
Diana40,Short Stay Accommodation,Diana40,Diana40,,09b992e1-b553-4c0b-96e6-b306010add46,D,,false,false,false,false,Private,Base,,,,,200,GBP,0,
Direct Long Stay,Long Stay Accommodation,Fully Flexible,,,fd3281b3-7831-474d-bab7-b14c0090c169,FF,,true,true,false,true,Private,Base,,,,,10000,GBP,0,
