group,service,name,externalName,description,id,shortName,externalId,active,enabled,public,isDefault,type,model,baseRateName,baseRateId,relPct,abs,baseAmountGross,currency,chainDepth,chain
1 Night - 3 days,Short Stay Accommodation,1 Night - 3 days,M&F Insider - Best Flexible Rate (1N),,75cd79a1-4833-4d8f-ab55-b2ea00f7fb70,Nd,,false,true,true,false,Public,Base,,,,,10000,GBP,0,
1 Night - 3 days,Short Stay Accommodation,1 Night - 3 days,M&F Insider - Best Flexible Rate (1N),,fb0d3790-1f7f-4846-8558-b2ea00f8b8a3,Nd,,false,true,true,false,Public,Dependent,AUTO M&F Insider - Best Flexible Rate (1N),c3b89393-bcf4-458e-b478-b26d00ae4d5c,0%,0,,GBP,2,AUTO M&F Insider - Best Flexible Rate (1N) → OTA main (old)
1 x Christmas Package,Short Stay Accommodation,M&F Early Bird - No Room At The Inn 1 person,M&F Early Bird - No Room At The Inn,"Cosy in with us this Christmas with our No Room At The Inn Package for Solo Traveler, perfect for a guest looking to unwind and enjoy the holiday season, let us take care of the rest. Settle into your private en-suite studio for a 3-night festive stay, and enjoy access to all our on-site spaces, including the Canal Restaurant, Listening Lounge, Cinema Room, and our 10th Floor Guest Lounge with twinkling winter views over London. Relax your way with full use of the pool, gym, sauna and steam. Your Christmas package includes: £100 Canal credit for 1 to savour festive food and drinks at our onsite restaurant (Christmas day lunch only) A Christmas Buffet on the 25th, hosted in warm, seasonal style (served Christmas day evening) A selection of Stella snacks awaiting you on arrival to make your stay feel extra cosy This special festive rate requires full payment at the time of booking and is non-refundable and non-amendable.",38bab9fd-765b-48cb-bbd5-b38700d0bd0c,MEBNRATIp,,false,false,false,false,Private,Base,,,,,200,GBP,0,
AUTO - NIGHT-OFF,Short Stay Accommodation,AUTO - NIGHT-OFF,Give Mum The Night Off,"This Mother's Day weekend, give mum what she truly wants - the night off. Book her in for a night at Mason & Fifth, Westbourne Park any day between Friday 13th and Monday 16th March, and treat her to: A peaceful night away ✓ A beautiful bunch of @sageflowers waiting for her (RRP £40)✓ Time to unwind in our pool, sauna and steam room ✓ A breakfast buffet before she checks back into real life ✓ • Available for stays from 13th March to 16th March only • Full payment required at the time of booking. Non-refundable and non-amendable",d2f75f2e-8d26-4596-8381-b3fa00e94c18,AN,,false,true,false,false,Private,Dependent,disabled AUTO - NIGHT-OFF,d08ceb69-6f2b-4b64-8fcc-b3f600c6ccc1,0%,195,,GBP,3,disabled AUTO - NIGHT-OFF → AUTO M&F Promotional Offer → OTA main (old)
AUTO OTA Airbnb Advance Purchase- Breakfast Included,Short Stay Accommodation,AUTO OTA Airbnb - Breakfast Included,OTA Airbnb - Breakfast Included,,3bfb6936-f4c0-47d6-a9d5-b37f00e3ff13,AOABI,,false,true,false,false,Private,Base,,,,,10000,GBP,0,
BILLING AUTOMATION TEST,Short Stay Accommodation,BILLING AUTOMATION TEST,,,98500191-02ce-4fed-a6af-b3e6014fab0c,BAT,,false,true,false,false,Private,Base,,,,,86.5,GBP,0,
BlueGround,Short Stay Accommodation,ToDelete AUTO OTA BlueGround Flexible,Flexible,,9ca8a8c9-ceb8-49e0-a86e-b3b000d41f00,TAOBF,BLUEG,false,false,false,false,Private,Dependent,OTA main (old),a5e75aa6-2506-4143-9ee7-b26b0104a51a,0%,0,,GBP,1,OTA main (old)
CALLISCONNECT,Short Stay Accommodation,CALLISCONNECT,,,930edbfa-0e58-4751-a9e3-b338009e2986,C,,false,true,false,false,Private,Dependent,OTA main (old),a5e75aa6-2506-4143-9ee7-b26b0104a51a,-5%,0,,GBP,1,OTA main (old)
Corporates,Short Stay Accommodation,AUTO CONTRACTED - Metrea,Metrea,,d9f0feb4-8ab3-4ac6-ba7d-b4020138a9ec,ACM,MET,true,true,false,false,Private,Base,,,,,192,GBP,0,
Corporates,Short Stay Accommodation,AUTO GDS KKD-Dr Martens,Dr Martens,GDS agreed corporate rate for Dr Martens,90b3c623-efd1-4974-aba2-b3480157b7d7,AGKM,KKD,true,true,false,false,Private,Base,,,,,246,GBP,0,
