snapshot_id,snapshot_taken_date,stay_date,hotel_id,adr,occupancy_direct,revpar,rooms_sold,capacity_count,total_revenue,total_room_revenue,total_other_revenue,room_rate_total,taxes_total,fees_total,misc_income,adults_count,children_count,room_guest_count,blocked_rooms_count,out_of_service_rooms_count
90000100187,2024-07-05,2024-07-05,900001,110.0,0.95,104.33,85,90,9350.0,9350.0,0,9350.0,280.5,0,0,91,12,103,0,0
90000100188,2024-07-06,2024-07-06,900001,86.34,0.79,68.28,71,90,6130.14,6130.14,0,6130.14,183.9,0,0,76,16,92,0,0
90000100189,2024-07-07,2024-07-07,900001,87.67,0.99,86.79,89,90,7802.63,7802.63,0,7802.63,234.08,0,0,102,13,115,0,0
90000100190,2024-07-08,2024-07-08,900001,95.48,0.77,73.74,70,90,6683.6,6683.6,0,6683.6,200.51,0,0,79,11,90,0,0
90000100191,2024-07-09,2024-07-09,900001,97.69,0.99,96.71,89,90,8694.41,8694.41,0,8694.41,260.83,0,0,100,14,114,0,0
90000100192,2024-07-10,2024-07-10,900001,83.5,0.81,67.31,73,90,6095.5,6095.5,0,6095.5,182.86,0,0,82,8,90,0,0
90000100193,2024-07-11,2024-07-11,900001,81.16,0.71,57.75,64,90,5194.24,5194.24,0,5194.24,155.83,0,0,68,6,74,0,0
90000100194,2024-07-12,2024-07-12,900001,110.0,0.86,94.1,77,90,8470.0,8470.0,0,8470.0,254.1,0,0,87,18,105,0,0
90000100195,2024-07-13,2024-07-13,900001,110.0,0.95,104.62,86,90,9460.0,9460.0,0,9460.0,283.8,0,0,98,11,109,0,0
90000100196,2024-07-14,2024-07-14,900001,80.13,0.91,72.65,82,90,6570.66,6570.66,0,6570.66,197.12,0,0,91,18,109,0,0
90000100197,2024-07-15,2024-07-15,900001,89.41,0.7,62.95,63,90,5632.83,5632.83,0,5632.83,168.98,0,0,75,5,80,0,0
90000100198,2024-07-16,2024-07-16,900001,110.0,0.81,88.77,73,90,8030.0,8030.0,0,8030.0,240.9,0,0,86,12,98,0,0
90000100199,2024-07-17,2024-07-17,900001,90.74,0.96,86.79,86,90,7803.64,7803.64,0,7803.64,234.11,0,0,95,11,106,0,0
90000100200,2024-07-18,2024-07-18,900001,110.0,0.82,89.97,74,90,8140.0,8140.0,0,8140.0,244.2,0,0,92,15,107,0,0
90000100201,2024-07-19,2024-07-19,900001,92.05,0.99,91.13,89,90,8192.45,8192.45,0,8192.45,245.77,0,0,98,13,111,0,0
90000100202,2024-07-20,2024-07-20,900001,110.0,0.99,108.9,89,90,9790.0,9790.0,0,9790.0,293.7,0,0,101,13,114,0,0
90000100203,2024-07-21,2024-07-21,900001,99.95,0.92,91.49,82,90,8195.9,8195.9,0,8195.9,245.88,0,0,94,14,108,0,0
90000100204,2024-07-22,2024-07-22,900001,85.64,0.77,66.35,70,90,5994.8,5994.8,0,5994.8,179.84,0,0,80,11,91,0,0
90000100205,2024-07-23,2024-07-23,900001,94.33,0.83,78.74,75,90,7074.75,7074.75,0,7074.75,212.24,0,0,82,10,92,0,0
90000100206,2024-07-24,2024-07-24,900001,109.33,0.98,106.9,88,90,9621.04,9621.04,0,9621.04,288.63,0,0,99,14,113,0,0
90000100207,2024-07-25,2024-07-25,900001,98.37,0.88,86.55,79,90,7771.23,7771.23,0,7771.23,233.14,0,0,93,19,112,0,0
90000100208,2024-07-26,2024-07-26,900001,108.24,0.74,80.23,67,90,7252.08,7252.08,0,7252.08,217.56,0,0,79,11,90,0,0
90000100209,2024-07-27,2024-07-27,900001,91.07,0.85,77.6,77,90,7012.39,7012.39,0,7012.39,210.37,0,0,87,10,97,0,0
90000100210,2024-07-28,2024-07-28,900001,110.0,0.94,103.73,85,90,9350.0,9350.0,0,9350.0,280.5,0,0,98,7,105,0,0
90000100211,2024-07-29,2024-07-29,900001,84.61,0.69,58.79,63,90,5330.43,5330.43,0,5330.43,159.91,0,0,67,5,72,0,0
90000100212,2024-07-30,2024-07-30,900001,82.89,0.82,67.84,74,90,6133.86,6133.86,0,6133.86,184.02,0,0,87,7,94,0,0
90000100213,2024-07-31,2024-07-31,900001,102.04,0.7,71.32,63,90,6428.52,6428.52,0,6428.52,192.86,0,0,72,11,83,0,0
90000100214,2024-08-01,2024-08-01,900001,88.3,0.73,64.67,66,90,5827.8,5827.8,0,5827.8,174.83,0,0,74,6,80,0,0
90000100215,2024-08-02,2024-08-02,900001,90.78,0.66,60.22,60,90,5446.8,5446.8,0,5446.8,163.4,0,0,69,8,77,0,0
90000100216,2024-08-03,2024-08-03,900001,82.46,0.77,63.51,69,90,5689.74,5689.74,0,5689.74,170.69,0,0,75,9,84,0,0
90000100217,2024-08-04,2024-08-04,900001,110.0,0.8,88.32,72,90,7920.0,7920.0,0,7920.0,237.6,0,0,78,11,89,0,0
90000100218,2024-08-05,2024-08-05,900001,95.64,0.94,90.06,85,90,8129.4,8129.4,0,8129.4,243.88,0,0,101,11,112,1,0
90000100219,2024-08-06,2024-08-06,900001,110.0,0.87,95.31,78,90,8580.0,8580.0,0,8580.0,257.4,0,0,86,11,97,1,0
90000100220,2024-08-07,2024-08-07,900001,93.31,0.63,58.78,57,90,5318.67,5318.67,0,5318.67,159.56,0,0,60,9,69,0,0
90000100221,2024-08-08,2024-08-08,900001,110.0,0.99,108.9,89,90,9790.0,9790.0,0,9790.0,293.7,0,0,98,11,109,0,0
90000100222,2024-08-09,2024-08-09,900001,103.16,0.95,97.92,85,90,8768.6,8768.6,0,8768.6,263.06,0,0,95,6,101,0,0
90000100223,2024-08-10,2024-08-10,900001,95.57,0.75,71.61,67,90,6403.19,6403.19,0,6403.19,192.1,0,0,72,11,83,0,0
90000100224,2024-08-11,2024-08-11,900001,99.27,0.99,98.28,89,90,8835.03,8835.03,0,8835.03,265.05,0,0,105,17,122,0,0
90000100225,2024-08-12,2024-08-12,900001,110.0,0.94,103.46,85,90,9350.0,9350.0,0,9350.0,280.5,0,0,98,14,112,0,0
90000100226,2024-08-13,2024-08-13,900001,110.0,0.87,95.45,78,90,8580.0,8580.0,0,8580.0,257.4,0,0,87,12,99,1,0
90000100227,2024-08-14,2024-08-14,900001,89.09,0.62,55.31,56,90,4989.04,4989.04,0,4989.04,149.67,0,0,63,7,70,0,0
90000100228,2024-08-15,2024-08-15,900001,93.58,0.65,60.85,59,90,5521.22,5521.22,0,5521.22,165.64,0,0,65,14,79,0,0
90000100229,2024-08-16,2024-08-16,900001,83.85,0.82,68.61,74,90,6204.9,6204.9,0,6204.9,186.15,0,0,84,10,94,0,0
90000100230,2024-08-17,2024-08-17,900001,110.0,0.98,108.28,89,90,9790.0,9790.0,0,9790.0,293.7,0,0,102,11,113,0,0
90000100231,2024-08-18,2024-08-18,900001,90.11,0.71,63.66,64,90,5767.04,5767.04,0,5767.04,173.01,0,0,69,8,77,0,0
90000100232,2024-08-19,2024-08-19,900001,79.81,0.77,61.36,69,90,5506.89,5506.89,0,5506.89,165.21,0,0,75,9,84,0,0
90000100233,2024-08-20,2024-08-20,900001,108.22,0.99,107.14,89,90,9631.58,9631.58,0,9631.58,288.95,0,0,97,20,117,0,0
90000100234,2024-08-21,2024-08-21,900001,88.68,0.77,68.41,69,90,6118.92,6118.92,0,6118.92,183.57,0,0,76,13,89,0,0
90000100235,2024-08-22,2024-08-22,900001,92.71,0.9,83.5,81,90,7509.51,7509.51,0,7509.51,225.29,0,0,95,13,108,0,0
90000100236,2024-08-23,2024-08-23,900001,110.0,0.77,85.06,70,90,7700.0,7700.0,0,7700.0,231.0,0,0,80,4,84,0,0
90000100237,2024-08-24,2024-08-24,900001,110.0,0.98,107.44,88,90,9680.0,9680.0,0,9680.0,290.4,0,0,98,16,114,0,0
90000100238,2024-08-25,2024-08-25,900001,110.0,0.87,95.24,78,90,8580.0,8580.0,0,8580.0,257.4,0,0,88,14,102,0,0
90000100239,2024-08-26,2024-08-26,900001,103.88,0.88,91.13,79,90,8206.52,8206.52,0,8206.52,246.2,0,0,85,14,99,0,0
90000100240,2024-08-27,2024-08-27,900001,94.73,0.88,83.38,79,90,7483.67,7483.67,0,7483.67,224.51,0,0,87,15,102,0,0
90000100241,2024-08-28,2024-08-28,900001,87.81,0.84,73.74,76,90,6673.56,6673.56,0,6673.56,200.21,0,0,85,12,97,0,0
90000100242,2024-08-29,2024-08-29,900001,83.91,0.93,78.11,84,90,7048.44,7048.44,0,7048.44,211.45,0,0,94,12,106,0,0
90000100243,2024-08-30,2024-08-30,900001,97.88,0.89,87.34,80,90,7830.4,7830.4,0,7830.4,234.91,0,0,90,10,100,0,0
90000100244,2024-08-31,2024-08-31,900001,84.71,0.85,72.31,77,90,6522.67,6522.67,0,6522.67,195.68,0,0,88,13,101,0,0
90000100245,2024-09-01,2024-09-01,900001,88.35,0.93,81.77,83,90,7333.05,7333.05,0,7333.05,219.99,0,0,91,10,101,0,0
