"hotel_id","property_name","neighborhood","category","total_rooms","month","days_in_month","avg_adr","occupancy_pct","avg_revpar","total_rooms_sold","gross_revenue"
2400,"Astor Victoria","Pimlico","Hostel",186,"2024-03-01",1,22.62,64.5,14.59,120.00,2714.36
2400,"Astor Victoria","Pimlico","Hostel",186,"2024-04-01",30,27.15,68.9,19.16,3847.00,106893.26
2400,"Astor Victoria","Pimlico","Hostel",186,"2024-05-01",31,29.65,81.8,24.58,4716.00,141736.67
2400,"Astor Victoria","Pimlico","Hostel",186,"2024-06-01",30,31.04,79.6,25.01,4440.00,139568.06
2400,"Astor Victoria","Pimlico","Hostel",186,"2024-07-01",31,30.91,70.6,22.49,4070.00,129701.10
2400,"Astor Victoria","Pimlico","Hostel",186,"2024-08-01",31,27.72,70.3,19.90,4055.00,114745.19
2400,"Astor Victoria","Pimlico","Hostel",186,"2024-09-01",30,27.26,75.1,20.94,4192.00,116867.66
2400,"Astor Victoria","Pimlico","Hostel",186,"2024-10-01",31,29.17,80.0,23.57,4611.00,135930.88
2400,"Astor Victoria","Pimlico","Hostel",186,"2024-11-01",30,28.67,68.2,20.62,3804.00,115086.60
2400,"Astor Victoria","Pimlico","Hostel",186,"2024-12-01",31,32.96,55.9,19.79,3225.00,114092.58
2400,"Astor Victoria","Pimlico","Hostel",186,"2025-01-01",31,22.39,42.8,9.94,2469.00,57302.45
2400,"Astor Victoria","Pimlico","Hostel",186,"2025-02-01",28,24.54,62.3,15.57,3246.00,81096.72
2400,"Astor Victoria","Pimlico","Hostel",186,"2025-03-01",31,26.10,64.3,17.26,3705.00,99520.40
2400,"Astor Victoria","Pimlico","Hostel",186,"2025-04-01",30,24.69,62.5,15.81,3485.00,88244.50
2400,"Astor Victoria","Pimlico","Hostel",186,"2025-05-01",31,28.03,66.3,18.85,3825.00,108700.78
2400,"Astor Victoria","Pimlico","Hostel",186,"2025-06-01",30,32.23,60.4,19.81,3372.00,110556.85
2400,"Astor Victoria","Pimlico","Hostel",186,"2025-07-01",31,35.20,62.3,22.90,3590.00,132067.52
2400,"Astor Victoria","Pimlico","Hostel",186,"2025-08-01",31,25.06,60.3,15.37,3475.00,88617.71
2400,"Astor Victoria","Pimlico","Hostel",186,"2025-09-01",30,27.52,73.0,20.68,4072.00,115398.12
2400,"Astor Victoria","Pimlico","Hostel",186,"2025-10-01",31,29.39,69.5,20.85,4006.00,120244.38
2400,"Astor Victoria","Pimlico","Hostel",186,"2025-11-01",30,28.56,61.5,18.80,3434.00,104908.34
2400,"Astor Victoria","Pimlico","Hostel",186,"2025-12-01",31,30.72,50.1,16.79,2886.00,96390.26
2400,"Astor Victoria","Pimlico","Hostel",186,"2026-01-01",31,22.49,35.4,8.17,2044.00,47004.89
2400,"Astor Victoria","Pimlico","Hostel",186,"2026-02-01",28,21.58,39.7,8.81,2068.00,45859.84
2400,"Astor Victoria","Pimlico","Hostel",186,"2026-03-01",31,25.82,61.9,16.43,3570.00,94864.39
2400,"Astor Victoria","Pimlico","Hostel",186,"2026-04-01",30,29.84,27.2,9.38,1519.00,52998.57
2400,"Astor Victoria","Pimlico","Hostel",186,"2026-05-01",31,0.00,0.1,0.00,5.00,0.00
2400,"Astor Victoria","Pimlico","Hostel",186,"2026-06-01",30,0.00,0.0,0.00,0.00,0.00
2400,"Astor Victoria","Pimlico","Hostel",186,"2026-07-01",31,0.00,0.0,0.00,0.00,0.00
2400,"Astor Victoria","Pimlico","Hostel",186,"2026-08-01",31,0.00,0.0,0.00,0.00,0.00
2400,"Astor Victoria","Pimlico","Hostel",186,"2026-09-01",30,0.00,0.0,0.00,0.00,0.00
2400,"Astor Victoria","Pimlico","Hostel",186,"2026-10-01",31,0.00,0.0,0.00,0.00,0.00
2400,"Astor Victoria","Pimlico","Hostel",186,"2026-11-01",30,0.00,0.0,0.00,0.00,0.00
2400,"Astor Victoria","Pimlico","Hostel",186,"2026-12-01",31,0.00,0.0,0.00,0.00,0.00
2400,"Astor Victoria","Pimlico","Hostel",186,"2027-01-01",31,0.00,0.0,0.00,0.00,0.00
2400,"Astor Victoria","Pimlico","Hostel",186,"2027-02-01",28,0.00,0.0,0.00,0.00,0.00
2400,"Astor Victoria","Pimlico","Hostel",186,"2027-03-01",31,0.00,0.0,0.00,0.00,0.00
2400,"Astor Victoria","Pimlico","Hostel",186,"2027-04-01",2,0.00,0.0,0.00,0.00,0.00
315429,"Camden Suites","Holloway","Economy",8,"2024-03-01",1,122.26,12.5,15.28,1.00,122.26
315429,"Camden Suites","Holloway","Economy",8,"2024-04-01",30,132.48,26.3,34.65,63.00,8317.00
315429,"Camden Suites","Holloway","Economy",8,"2024-05-01",31,137.44,34.3,47.97,85.00,11896.00
315429,"Camden Suites","Holloway","Economy",8,"2024-06-01",30,161.60,25.8,42.25,62.00,10141.00
315429,"Camden Suites","Holloway","Economy",8,"2024-07-01",31,54.07,29.0,31.54,72.00,7822.38
315429,"Camden Suites","Holloway","Economy",8,"2024-08-01",31,104.77,75.8,80.41,188.00,19942.69
315429,"Camden Suites","Holloway","Economy",8,"2024-09-01",30,112.25,79.2,90.90,190.00,21814.94
315429,"Camden Suites","Holloway","Economy",8,"2024-10-01",31,113.19,87.9,100.38,218.00,24894.07
315429,"Camden Suites","Holloway","Economy",8,"2024-11-01",30,108.18,72.9,83.15,175.00,19956.08
315429,"Camden Suites","Holloway","Economy",8,"2024-12-01",31,119.81,80.6,99.27,200.00,24617.86
315429,"Camden Suites","Holloway","Economy",8,"2025-01-01",31,76.94,35.1,34.41,87.00,8534.64
315429,"Camden Suites","Holloway","Economy",8,"2025-02-01",28,80.92,70.1,58.27,157.00,13052.09
315429,"Camden Suites","Holloway","Economy",8,"2025-03-01",31,91.03,75.0,69.24,186.00,17170.74
315429,"Camden Suites","Holloway","Economy",8,"2025-04-01",30,98.09,73.3,74.42,176.00,17860.94
315429,"Camden Suites","Holloway","Economy",8,"2025-05-01",31,98.54,83.1,83.87,206.00,20800.98
315429,"Camden Suites","Holloway","Economy",8,"2025-06-01",30,116.95,91.7,107.51,220.00,25801.42
315429,"Camden Suites","Holloway","Economy",8,"2025-07-01",31,105.67,88.7,95.55,220.00,23697.11
